Gene_acc,Gene_id,srank,Intensity,FDR,Desc,desc2,ids2
0,Tb927.2.6320,680.5782780000002,8.913374039001594,0.0,"adenosine transporter 2, putative",Tb927.2.6320:mRNA-p1 | transcript=Tb927.2.6320:mRNA | gene=Tb927.2.6320 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=adenosine transporter 2  putative | transcript_product=adenosine transporter 2  putative | location=Tb927_02_v5.1:1159520-11,Tb927.2.6320:mRNA-p1
1,Tb927.11.2230,-525.74925,9.270469206453198,0.0,"carnitine O-acetyltransferase, putative",Tb927.11.2230:mRNA-p1 | transcript=Tb927.11.2230:mRNA | gene=Tb927.11.2230 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=carnitine O-acetyltransferase  putative | transcript_product=carnitine O-acetyltransferase  putative | location=Tb927_11_,Tb927.11.2230:mRNA-p1
2,Tb927.10.15410,-480.042467,8.322302009615019,0.0,glycosomal malate dehydrogenase,Tb927.10.15410:mRNA-p1 | transcript=Tb927.10.15410:mRNA | gene=Tb927.10.15410 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycosomal malate dehydrogenase | transcript_product=glycosomal malate dehydrogenase | location=Tb927_10_v5.1:3786037-,Tb927.10.15410:mRNA-p1
3,Tb927.10.7300,404.387645,9.37316955890372,0.0,"hypothetical protein, conserved",Tb927.10.7300:mRNA-p1 | transcript=Tb927.10.7300:mRNA | gene=Tb927.10.7300 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein  conserved | transcript_product=hypothetical protein  conserved | location=Tb927_10_v5.1:1844023-184,Tb927.10.7300:mRNA-p1
4,Tb927.6.4470,339.356425,8.144325078400488,0.0,S-adenosylmethionine decarboxylase proenzyme,Tb927.6.4470:mRNA-p1 | transcript=Tb927.6.4470:mRNA | gene=Tb927.6.4470 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=S-adenosylmethionine decarboxylase proenzyme | transcript_product=S-adenosylmethionine decarboxylase proenzyme | location=Tb,Tb927.6.4470:mRNA-p1
5,Tb927.8.7820,-319.831984,8.284859176733763,0.0,"Cold-shock DNA-binding domain containing protein, putative",Tb927.8.7820:mRNA-p1 | transcript=Tb927.8.7820:mRNA | gene=Tb927.8.7820 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Cold-shock DNA-binding domain containing protein  putative | transcript_product=Cold-shock DNA-binding domain containing,Tb927.8.7820:mRNA-p1
6,Tb927.11.6280,-300.853144,8.807555321729374,0.0,pyruvate phosphate dikinase,Tb927.11.6280:mRNA-p1 | transcript=Tb927.11.6280:mRNA | gene=Tb927.11.6280 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pyruvate phosphate dikinase | transcript_product=pyruvate phosphate dikinase | location=Tb927_11_v5.1:1768333-1771074(-) ,Tb927.11.6280:mRNA-p1
7,Tb927.11.9590,-297.425607,11.213916009644024,0.0,"S-adenosylhomocysteine hydrolase, putative",Tb927.11.9590:mRNA-p1 | transcript=Tb927.11.9590:mRNA | gene=Tb927.11.9590 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=S-adenosylhomocysteine hydrolase  putative | transcript_product=S-adenosylhomocysteine hydrolase  putative | location=Tb9,Tb927.11.9590:mRNA-p1
8,Tb927.6.2810,-268.249609,7.885604311655724,0.0,"ABC transporter, putative",Tb927.6.2810:mRNA-p1 | transcript=Tb927.6.2810:mRNA | gene=Tb927.6.2810 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ABC transporter  putative | transcript_product=ABC transporter  putative | location=Tb927_06_v5.1:842490-844064(+) | protein,Tb927.6.2810:mRNA-p1
9,Tb927.11.10810,-259.697202,8.194181208793847,0.0,pumillio/PUF RNA binding protein 11,Tb927.11.10810:mRNA-p1 | transcript=Tb927.11.10810:mRNA | gene=Tb927.11.10810 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pumillio/PUF RNA binding protein 11 | transcript_product=pumillio/PUF RNA binding protein 11 | location=Tb927_11_v5.1:,Tb927.11.10810:mRNA-p1
