Gene_acc,Gene_id,SignedRank,log10TMT,FDR,Desc
0,Tb927.2.6320,680.5782780000002,5.036222885119545,0.0,"adenosine transporter 2, putative"
1,Tb927.11.2230,-525.74925,5.89295121055062,0.0,"carnitine O-acetyltransferase, putative"
2,Tb927.10.15410,-480.042467,4.590129310698406,0.0,glycosomal malate dehydrogenase
3,Tb927.10.7300,404.387645,6.269374383733476,0.0,"hypothetical protein, conserved"
4,Tb927.6.4470,339.356425,5.135088636396738,0.0,S-adenosylmethionine decarboxylase proenzyme
5,Tb927.8.7820,-319.831984,4.624969270792175,0.0,"Cold-shock DNA-binding domain containing protein, putative"
6,Tb927.11.6280,-300.853144,5.47089391472709,0.0,pyruvate phosphate dikinase
7,Tb927.11.9590,-297.425607,7.530636548627371,0.0,"S-adenosylhomocysteine hydrolase, putative"
8,Tb927.6.2810,-268.249609,4.967861416211435,0.0,"ABC transporter, putative"
9,Tb927.11.10810,-259.697202,4.871434764338203,0.0,pumillio/PUF RNA binding protein 11
10,Tb927.7.5680,-236.47328,5.142972097738091,0.0,"deoxyribose-phosphate aldolase, putative"
11,Tb927.10.8440,-234.353217,6.1734286090030075,0.0,glucose transporter 1B
12,Tb927.10.7270,198.062083,2.636526342584923,0.0,"hypothetical protein, conserved"
13,Tb927.10.8530,-192.847674,4.591619184626428,0.0,glucose transporter 2A
14,Tb927.7.180,190.115062,6.147238718297973,0.0,"Trypanosomal VSG domain containing protein, putative"
15,Tb927.7.2660,-187.933687,4.936277430042605,0.0,"zinc finger protein family member, putative"
16,Tb927.5.2750,174.082866,5.863997574415993,0.0,"Alpha/beta hydrolase family, putative"
17,Tb927.11.4290,-167.12598,5.8927576018201355,0.0,40S ribosomal protein S12
18,Tb927.11.9640,-161.853029,6.70170035418669,0.00053,"glycyl-tRNA synthetase, putative"
19,Tb927.2.6200,151.20828899999995,5.727641550664447,0.00053,"adenosine transporter 2, putative"
20,Tb927.10.13430,-148.991972,4.8984737810140775,0.00053,"citrate synthase, putative"
21,Tb927.11.1470,145.27551499999996,4.471118056366554,0.00053,65 kDa invariant surface glycoprotein-like protein
22,Tb927.11.9810,-144.392464,4.898834838068274,0.00053,"NUDIX hydrolase 3, putative"
23,Tb927.11.9630,-144.024573,5.724518897243355,0.00053,"Snf7, putative"
24,Tb927.1.4420,-143.279848,5.600170324325424,0.00053,"ABC transporter, putative"
25,Tb927.10.12800,-143.10126599999995,5.067636769468114,0.00053,Zinc finger CCCH domain-containing protein 38
